,id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma,ano,mes,dia
5555,824966355,042e8ad9-4b2d-3a01-8473-452e75b398b0,-18.152,-50.195,2019-01-17 17:20:00,Brasil,GOIÁS,QUIRINÓPOLIS,Mata Atlântica,2019,1,17
5558,824966352,429e970f-001c-397f-8186-58e62a1648ed,-18.738,-50.077,2019-01-17 17:20:00,Brasil,MINAS GERAIS,SANTA VITÓRIA,Cerrado,2019,1,17
5577,852622835,bbac2186-6d77-3a7c-90aa-8d3f7d8968ab,-15.29,-51.934,2019-01-31 17:30:00,Brasil,MATO GROSSO,ARAGUAIANA,Cerrado,2019,1,31
5581,852622825,23047c1b-40a1-31f9-8e87-900325cb1ebe,-22.474,-51.39,2019-01-31 17:30:00,Brasil,SÃO PAULO,TACIBA,Mata Atlântica,2019,1,31
5582,852622824,3bb2efcd-76f8-3143-9c9f-7596ef2e38e7,-22.57,-52.05,2019-01-31 17:30:00,Brasil,PARANÁ,JARDIM OLINDA,Mata Atlântica,2019,1,31
5600,833412046,df6e020b-33b4-3882-9a81-4f180db6c949,-19.434,-46.479,2019-01-25 16:30:00,Brasil,MINAS GERAIS,IBIÁ,Cerrado,2019,1,25
5617,856881612,7c7b1e69-d564-3def-a763-ac9c674e1531,-18.239,-52.817,2019-02-02 17:20:00,Brasil,GOIÁS,MINEIROS,Cerrado,2019,2,2
5651,833412008,20b00d3f-3ced-3798-aae4-7def5082ccc8,-20.026,-40.648,2019-01-25 16:30:00,Brasil,ESPÍRITO SANTO,SANTA MARIA DE JETIBÁ,Mata Atlântica,2019,1,25
5659,854617453,54b19ad7-9676-3397-bbb3-d9f158a3722a,-21.932,-41.946,2019-02-01 16:35:00,Brasil,RIO DE JANEIRO,SANTA MARIA MADALENA,Mata Atlântica,2019,2,1
5665,834755330,c598d9c8-05df-39f4-a9ed-280e016e789d,3.775,-60.416,2019-01-26 17:20:00,Brasil,RORAIMA,NORMANDIA,Amazônia,2019,1,26
5681,837611438,5de1529f-999b-31a5-91c9-a870268fc59b,-12.786,-51.764,2019-01-23 16:45:00,Brasil,MATO GROSSO,RIBEIRÃO CASCALHEIRA,Cerrado,2019,1,23
5683,837611628,b8f23823-c836-34b2-ae04-dfc27a487fe4,-19.83,-57.788,2019-01-23 18:20:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal,2019,1,23
5735,854617468,9e81ad80-c46d-3dd6-9272-1dc1c8c230b9,-20.328,-41.054,2019-02-01 16:35:00,Brasil,ESPÍRITO SANTO,DOMINGOS MARTINS,Mata Atlântica,2019,2,1
5751,854617485,d5553528-f226-379c-89f9-66cd7ad5c5e3,-16.779,-47.438,2019-02-01 16:35:00,Brasil,GOIÁS,CRISTALINA,Cerrado,2019,2,1
5760,833412104,5974955e-4694-36d7-a83a-3029a26078a0,-4.041,-48.901,2019-01-25 16:35:00,Brasil,PARÁ,GOIANÉSIA DO PARÁ,Amazônia,2019,1,25
5762,833444811,04a62c39-06d7-339c-9247-6683af5a5097,-12.666,-58.256,2019-01-25 18:10:00,Brasil,MATO GROSSO,BRASNORTE,Cerrado,2019,1,25
5770,837599538,00817235-5d5f-33c1-852f-731eee4ac243,-10.043,-36.439,2019-01-22 16:00:00,Brasil,ALAGOAS,CORURIPE,Mata Atlântica,2019,1,22
5789,850600354,3ed67470-29a6-36ba-93a8-32e0d14bc4ec,-10.641,-41.074,2019-01-30 16:50:00,Brasil,BAHIA,UMBURANAS,Caatinga,2019,1,30
5795,850600348,e083e919-8e08-3792-89ca-7ed98976ce14,-13.356,-46.728,2019-01-30 16:50:00,Brasil,GOIÁS,MONTE ALEGRE DE GOIÁS,Cerrado,2019,1,30
